transaction_id,product_key_id,customer_id,transaction_date,online_order,order_status
1,0,2950,2017-02-25,False,Approved
2,1,3120,2017-05-21,True,Approved
3,2,402,2017-10-16,False,Approved
4,3,3135,2017-08-31,False,Approved
5,4,787,2017-10-01,True,Approved
6,5,2339,2017-03-08,True,Approved
7,6,1542,2017-04-21,True,Approved
8,7,2459,2017-07-15,False,Approved
9,8,1305,2017-08-10,False,Approved
10,9,3262,2017-08-30,True,Approved
11,10,1986,2017-01-17,False,Approved
12,11,2783,2017-01-05,True,Approved
13,12,1243,2017-02-26,True,Approved
14,13,2717,2017-09-10,False,Approved
15,14,247,2017-06-11,False,Approved
16,1,2961,2017-10-10,False,Approved
17,15,2426,2017-04-03,False,Approved
18,16,1842,2017-06-02,False,Approved
19,17,2268,2017-04-06,True,Approved
20,5,3002,2017-01-28,True,Approved
21,18,1582,2017-10-09,False,Approved
22,2,595,2017-06-29,True,Approved
23,2,2001,2017-04-08,True,Approved
24,19,515,2017-10-18,False,Approved
25,20,2822,2017-06-11,False,Approved
26,21,2596,2017-01-10,False,Approved
27,21,2666,2017-04-11,True,Approved
28,22,76,2017-12-23,False,Approved
29,23,3368,2017-10-13,True,Approved
30,24,1173,2017-03-15,False,Approved
31,3,2810,2017-09-05,True,Approved
32,25,3214,2017-02-18,False,Approved
33,5,1272,2017-03-20,False,Approved
34,26,2003,2017-02-28,True,Approved
35,27,2171,2017-08-20,False,Approved
36,28,3356,2017-07-07,False,Approved
37,29,1040,2017-01-09,False,Approved
38,0,2916,2017-12-06,False,Approved
39,9,427,2017-09-12,False,Approved
40,27,2448,2017-11-28,True,Approved
41,30,2570,2017-05-08,True,Approved
42,31,3398,2017-05-14,False,Approved
43,32,488,2017-03-17,False,Cancelled
44,33,165,2017-12-22,False,Approved
45,34,2787,2017-06-07,True,Approved
46,35,3053,2017-06-20,False,Approved
47,12,475,2017-05-07,True,Approved
48,36,1305,2017-06-10,True,Approved
49,37,1251,2017-06-17,False,Approved
50,38,3103,2017-05-10,False,Approved
51,39,3108,2017-03-24,False,Approved
52,40,857,2017-11-27,False,Approved
53,41,3455,2017-12-21,True,Approved
54,18,2549,2017-02-09,True,Approved
55,42,3140,2017-09-18,False,Approved
56,43,3406,2017-11-14,False,Approved
57,44,2294,2017-08-30,True,Approved
58,45,1031,2017-11-14,False,Approved
59,46,993,2017-02-15,True,Approved
60,47,3473,2017-12-18,False,Approved
61,48,1839,2017-02-24,False,Approved
62,16,1824,2017-12-18,True,Approved
63,49,368,2017-12-17,False,Approved
64,50,2000,2017-07-08,False,Approved
65,51,825,2017-05-16,True,Approved
66,37,3315,2017-02-23,True,Approved
67,0,75,2017-07-03,True,Approved
68,52,1498,2017-09-30,True,Approved
69,53,1612,2017-10-21,True,Approved
70,18,2192,2017-05-06,True,Approved
71,17,419,2017-01-03,False,Approved
72,54,3307,2017-05-09,True,Approved
73,6,2430,2017-07-23,False,Approved
74,55,1506,2017-01-21,True,Approved
75,56,1346,2017-06-20,False,Approved
76,6,927,2017-03-10,False,Approved
77,57,763,2017-06-02,False,Approved
78,58,2397,2017-11-07,False,Approved
79,59,102,2017-09-12,True,Approved
80,60,2884,2017-12-16,False,Approved
81,61,759,2017-10-07,True,Approved
82,62,773,2017-04-27,True,Approved
83,63,3398,2017-04-01,True,Approved
84,16,3297,2017-11-02,True,Approved
85,64,2434,2017-02-13,True,Approved
86,25,1861,2017-07-19,False,Approved
87,18,1233,2017-05-23,False,Approved
88,65,1390,2017-08-06,False,Approved
89,48,2682,2017-04-04,True,Approved
90,66,439,2017-08-15,True,Approved
91,67,1579,2017-04-15,True,Approved
92,68,2984,2017-07-25,True,Approved
93,16,3470,2017-11-28,True,Approved
94,37,1,2017-12-23,False,Approved
95,69,757,2017-02-26,False,Approved
96,25,1778,2017-02-21,False,Approved
97,58,211,2017-05-31,True,Approved
98,70,333,2017-06-23,,Approved
99,71,32,2017-03-26,False,Approved
100,72,119,2017-07-31,False,Approved
101,73,2347,2017-07-27,False,Approved
102,52,2353,2017-04-14,False,Approved
103,16,788,2017-11-12,False,Approved
104,4,1468,2017-09-12,False,Approved
105,20,821,2017-10-26,False,Approved
106,74,2489,2017-02-15,False,Approved
107,15,2710,2017-12-22,False,Approved
108,75,947,2017-10-11,True,Approved
109,76,1335,2017-03-27,True,Approved
110,77,1076,2017-11-04,False,Approved
111,78,3320,2017-06-11,True,Approved
112,61,779,2017-10-09,False,Approved
113,79,3296,2017-06-07,True,Approved
114,80,455,2017-10-24,True,Approved
115,32,1779,2017-05-01,False,Approved
116,23,2703,2017-11-21,True,Approved
117,81,806,2017-03-24,False,Approved
118,82,22,2017-03-21,False,Approved
119,21,1591,2017-02-20,False,Approved
120,83,678,2017-06-16,False,Approved
121,5,50,2017-12-04,False,Approved
122,84,1038,2017-12-01,True,Approved
123,65,1453,2017-03-05,True,Approved
124,85,1339,2017-03-21,False,Approved
125,86,3382,2017-01-03,True,Approved
126,87,773,2017-04-01,False,Approved
127,64,2503,2017-03-16,True,Approved
128,5,1057,2017-02-26,False,Approved
129,57,1397,2017-06-05,False,Approved
130,30,2134,2017-09-04,False,Approved
131,88,2403,2017-01-18,True,Approved
132,9,1937,2017-09-28,False,Approved
133,89,1282,2017-09-02,True,Approved
134,4,2183,2017-05-09,False,Approved
135,61,1788,2017-10-17,False,Approved
136,90,1170,2017-04-25,True,Approved
137,91,431,2017-09-23,False,Approved
138,92,1940,2017-08-02,False,Approved
139,93,2073,2017-03-25,False,Cancelled
140,94,462,2017-01-01,False,Approved
141,95,2728,2017-12-22,False,Approved
142,33,2053,2017-12-25,False,Approved
